PT[GEV],PT[GEV]LOW,PT[GEV]HIGH,(10**7/Nev)*(1/PT)*DN/DPT[GEV**-2],stat+,stat-,sys+,sys-
1.0,0.0,2.0,3.15151,0.689133,-0.689133,0.482284,-0.482284
3.0,2.0,4.0,1.68932,0.286253,-0.286253,0.0991975,-0.0991975
5.0,4.0,6.0,0.868727,0.140804,-0.140804,0.055521,-0.055521
7.0,6.0,8.0,0.590133,0.0934874,-0.0934874,0.0386238,-0.0386238
9.0,8.0,10.0,0.335737,0.0585438,-0.0585438,0.0216393,-0.0216393
11.0,10.0,12.0,0.296663,0.0547039,-0.0547039,0.0195517,-0.0195517
13.5,12.0,15.0,0.238623,0.0370381,-0.0370381,0.0133022,-0.0133022
17.5,15.0,20.0,0.0748173,0.0127449,-0.0127449,0.00376415,-0.00376415
25.0,20.0,30.0,0.0321837,0.00611323,-0.00611323,0.00170438,-0.00170438
40.0,30.0,50.0,0.0075002,0.00153719,-0.00153719,0.000389768,-0.000389768
75.0,50.0,100.0,0.000818506,0.000266101,-0.000266101,5.0197e-05,-5.0197e-05
200.0,100.0,300.0,7.416e-06,6.968e-06,-6.968e-06,4.14e-07,-4.14e-07

