pT,pTLOW,pTHIGH,1/pTdsigma/dpT[nb/GeV^2],stat+,stat-,sys+,sys-
1.5,0.0,3.0,3.7,0.2,-0.2,0.1,-0.1
4.5,3.0,6.0,1.66,0.08,-0.08,0.04,-0.04
7.5,6.0,9.0,0.78,0.04,-0.04,0.02,-0.02
10.5,9.0,12.0,0.4,0.02,-0.02,0.009,-0.009
13.5,12.0,15.0,0.23,0.02,-0.02,0.006,-0.006
16.5,15.0,18.0,0.15,0.01,-0.01,0.003,-0.003
21.5,18.0,25.0,0.075,0.004,-0.004,0.002,-0.002
30.0,25.0,35.0,0.031,0.002,-0.002,0.0009,-0.0009
40.0,35.0,45.0,0.013,0.001,-0.001,0.0003,-0.0003
50.0,45.0,55.0,0.0062,0.0006,-0.0006,0.0002,-0.0002
62.5,55.0,70.0,0.0025,0.0003,-0.0003,8e-05,-8e-05
85.0,70.0,100.0,0.00063,8e-05,-8e-05,2e-05,-2e-05
125.0,100.0,150.0,0.00011,2e-05,-2e-05,4e-06,-4e-06
225.0,150.0,300.0,3.1e-06,2e-06,-2e-06,1e-07,-1e-07

