pt	ptmin	ptmax	value	error	Q
0.1	0	0.2	2880	120	5.5
0.3	0.2	0.4	2760	80	5.5
0.5	0.4	0.6	2300	70	5.5
0.7	0.6	0.8	2080	70	5.5
0.9	0.8	1	1480	60	5.5
1.1	1	1.2	1180	60	5.5
1.3	1.2	1.4	817	48	5.5
1.5	1.4	1.6	590	43	5.5
1.7	1.6	1.8	458	37	5.5
1.9	1.8	2	319	32	5.5
2.1	2	2.2	167	24	5.5
2.3	2.2	2.4	111	21	5.5
2.5	2.4	2.6	71	19	5.5
2.7	2.6	2.8	49	15	5.5
2.9	2.8	3	53	14	5.5
3.1	3	3.2	8	13	5.5
3.3	3.2	3.4	-50	-50	5.5
3.5	3.4	3.6	26	13	5.5
3.7	3.6	3.8	10	10	5.5
3.9	3.8	4	-50	-50	5.5
4.1	4	4.2	-50	-50	5.5
4.3	4.2	4.4	-50	-50	5.5
4.5	4.4	4.6	27	28	5.5
4.7	4.6	4.8	-50	-50	5.5
4.9	4.8	5	-50	-50	5.5
0.1	0	0.2	1040	30	6.5
0.3	0.2	0.4	966	18	6.5
0.5	0.4	0.6	894	16	6.5
0.7	0.6	0.8	707	14	6.5
0.9	0.8	1	594	14	6.5
1.1	1	1.2	440	12	6.5
1.3	1.2	1.4	330	11	6.5
1.5	1.4	1.6	217	9	6.5
1.7	1.6	1.8	153	7	6.5
1.9	1.8	2	88	6	6.5
2.1	2	2.2	61	5	6.5
2.3	2.2	2.4	50	4	6.5
2.5	2.4	2.6	25	3	6.5
2.7	2.6	2.8	20	3	6.5
2.9	2.8	3	14	3	6.5
3.1	3	3.2	5.9	2.1	6.5
3.3	3.2	3.4	6.4	1.9	6.5
3.5	3.4	3.6	3.8	1.2	6.5
3.7	3.6	3.8	3.1	1.5	6.5
3.9	3.8	4	0.5	0.9	6.5
4.1	4	4.2	0.5	0.5	6.5
4.3	4.2	4.4	1.8	1	6.5
4.5	4.4	4.6	-1.5	1.5	6.5
4.7	4.6	4.8	-50	-50	6.5
4.9	4.8	5	1.2	1.2	6.5
0.1	0	0.2	382	16	7.5
0.3	0.2	0.4	354	9	7.5
0.5	0.4	0.6	328	8	7.5
0.7	0.6	0.8	280	7	7.5
0.9	0.8	1	221	7	7.5
1.1	1	1.2	170	6	7.5
1.3	1.2	1.4	125	5	7.5
