pT,Fe/Be,err1,W/Be,err2,x2,x2lo,x2hi
0.250,0.808,0.061,0.685,0.052,0.03,0.02,0.04
0.750,0.996,0.061,0.828,0.052,0.03,0.02,0.04
1.250,0.952,0.071,0.928,0.068,0.03,0.02,0.04
1.750,1.168,0.135,0.808,0.100,0.03,0.02,0.04
2.250,1.649,0.409,1.046,0.281,0.03,0.02,0.04
2.750,0.196,0.385,1.089,0.677,0.03,0.02,0.04
3.250,0.539,2.110,4.170,9.142,0.03,0.02,0.04
0.250,0.957,0.024,0.942,0.023,0.05,0.04,0.06
0.750,0.933,0.017,0.898,0.016,0.05,0.04,0.06
1.250,0.945,0.020,0.899,0.019,0.05,0.04,0.06
1.750,0.998,0.034,1.031,0.034,0.05,0.04,0.06
2.250,1.026,0.065,1.041,0.064,0.05,0.04,0.06
2.750,1.156,0.168,1.255,0.173,0.05,0.04,0.06
3.250,0.579,0.130,0.921,0.160,0.05,0.04,0.06
3.750,0.812,0.269,1.000,0.295,0.05,0.04,0.06
4.250,2.254,1.966,3.019,2.543,0.05,0.04,0.06
0.250,0.929,0.031,0.892,0.030,0.07,0.06,0.08
0.750,0.956,0.023,0.923,0.022,0.07,0.06,0.08
1.250,0.978,0.028,1.005,0.028,0.07,0.06,0.08
1.750,1.048,0.042,1.044,0.041,0.07,0.06,0.08
2.250,1.057,0.069,1.113,0.071,0.07,0.06,0.08
2.750,1.157,0.129,1.137,0.125,0.07,0.06,0.08
3.250,1.187,0.220,1.345,0.238,0.07,0.06,0.08
3.750,1.379,0.548,1.063,0.446,0.07,0.06,0.08
4.250,0.910,0.552,1.180,0.637,0.07,0.06,0.08
4.750,3.881,3.965,3.096,3.223,0.07,0.06,0.08
0.250,0.961,0.060,0.975,0.060,0.09,0.08,0.10
0.750,0.945,0.042,0.940,0.041,0.09,0.08,0.10
1.250,1.049,0.052,0.984,0.048,0.09,0.08,0.10
1.750,1.065,0.079,1.129,0.081,0.09,0.08,0.10
2.250,1.114,0.125,1.068,0.119,0.09,0.08,0.10
2.750,1.349,0.275,1.339,0.268,0.09,0.08,0.10
3.250,1.289,0.349,0.816,0.241,0.09,0.08,0.10
3.750,1.276,0.523,0.695,0.321,0.09,0.08,0.10
0.250,1.027,0.133,0.810,0.108,0.11,0.10,0.12
0.750,0.897,0.093,0.984,0.097,0.11,0.10,0.12
1.250,1.045,0.113,0.883,0.097,0.11,0.10,0.12
1.750,1.426,0.233,1.303,0.213,0.11,0.10,0.12
2.250,1.213,0.264,1.145,0.247,0.11,0.10,0.12
2.750,0.934,0.390,1.273,0.487,0.11,0.10,0.12
