#: table_doi: 10.17182/hepdata.13387.v1/t184
#: name: Table 184
#: description: Charged pion multiplicity ratio(Xenon/Deuterium) as a function of PT**2 for NU 17 TO 23.5 GeV.

#: data_file: Table184.yaml
#: keyword reactions: E- DEUT --> E PI- X | E- DEUT --> E- PI+ X | E+ DEUT --> E+ PI- X | E+ DEUT --> E+ PI+ X | E- XE --> E- PI- X | E- XE --> E- PI+ X | E+ XE --> E+ PI- X | E+ XE --> E+ PI+ X | E- NUCLEUS --> E- PI+ X | E+ NUCLEUS --> E+ PI+ X | E- NUCLEUS --> E- PI- X | E+ NUCLEUS --> E+ PI- X
#: keyword observables: MULT
#: keyword phrases: Inclusive | Electron production | Neutral Current | Deep Inelastic Scattering
#: RE(Q=DEUT),,,E+- DEUT --> E+- (PI+ + PI-) X
#: NU [GEV],,,17 TO 23.5
#: E(P=1) [GeV],,,27.6
#: RE(Q=XE),,,E+- XE --> E+- (PI+ + PI-) X
PT**2 [GEV**2],PT**2 [GEV**2] LOW,PT**2 [GEV**2] HIGH,"MULT(P=3,Q=XE)/MULT(P=3,Q=DEUT)",stat +,stat -,sys +,sys -
0.027,0.0,0.05,0.736,0.011,-0.011,0.021,-0.021
0.075,0.05,0.1,0.769,0.011,-0.011,0.024,-0.024
0.188,0.1,0.3,0.791,0.006,-0.006,0.031,-0.031
0.385,0.3,0.5,0.813,0.01,-0.01,0.025,-0.025
0.586,0.5,0.7,0.844,0.015,-0.015,0.024,-0.024
0.788,0.7,0.9,0.877,0.025,-0.025,0.026,-0.026
0.989,0.9,1.1,0.889,0.035,-0.035,0.026,-0.026
1.227,1.1,1.4,0.962,0.047,-0.047,0.028,-0.028
1.795,1.4,1.95,1.213,0.064,-0.064,0.035,-0.035

