	rep	chi2	aN	bN	g2A	a2	g2B	B2
0	0	147.803	1.9998256472472289E-002	8.7531615246423944E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
1	1	305.960	1.7553020340599648E-002	8.1973614604856360E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
2	2	201.073	2.4742426307025778E-002	9.2137727138954795E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
3	3	228.751	2.2536751869935881E-002	8.0537730874900848E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
4	4	216.028	2.1199707296499962E-002	8.6123266326346218E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
5	5	259.083	2.0642570339671679E-002	8.8741879442872859E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
6	6	208.641	1.8324735076711521E-002	8.0239267066377629E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
7	7	224.284	2.0026086830079934E-002	9.2524836430625118E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
8	8	235.598	2.1388036279899700E-002	9.0707183834377383E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
9	9	224.167	2.0199656900588253E-002	9.0106887436849636E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
10	10	238.100	1.9883604983439745E-002	9.5362421837610761E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
11	11	218.474	2.0199616506072493E-002	8.4243013241801362E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
12	12	209.075	1.6698724577706242E-002	8.8140254511210117E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
13	13	283.504	1.9532389638667519E-002	8.7487696668342094E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
14	14	194.878	1.5823062052848683E-002	8.8511563138930216E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
15	15	214.089	1.5545331641040550E-002	9.9143157886617400E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
16	16	270.541	1.5565529496857120E-002	1.1013645018782478E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
17	17	196.934	1.9876747275976381E-002	8.3704038898520586E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
18	18	283.381	2.3625596336055543E-002	7.7583795245677808E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
19	19	242.163	1.9266594103549195E-002	9.1060253512254899E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
20	20	234.283	2.2238568566410016E-002	9.2954783404726252E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
21	21	248.866	1.9983333627517766E-002	8.8343470858645162E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
22	22	247.165	2.2154666691091493E-002	8.5722584127743695E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
23	23	271.871	2.0767097799125292E-002	9.8184870408029035E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
