	rep	chi2	aN	bN	g2A	a2	g2B	B2
0	0	105.232	1.5948389281365716E-002	9.7265002153500910E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
1	1	153.981	1.5581153142865622E-002	1.0325040255179052E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
2	2	200.955	1.7281604670943945E-002	8.0158433563307374E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
3	3	205.601	9.6628780971957373E-003	1.1327153876690713E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
4	4	231.296	1.5977682972079799E-002	1.0645372964465251E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
5	5	142.633	1.6095426231944127E-002	9.2645231583350224E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
6	6	202.572	1.5664213859993004E-002	1.0135237051146849E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
7	7	259.560	1.6706939941634566E-002	9.6898669065179147E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
8	8	146.385	1.5582257302955441E-002	9.9911529616604627E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
9	9	176.272	1.4512240464234605E-002	1.0620016734322973E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
10	10	184.234	9.6971230090613786E-003	1.1319007307927467E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
11	11	172.068	1.4836870882909289E-002	1.0739417911198999E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
12	12	176.778	1.3942756122186054E-002	9.7067373431415846E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
13	13	208.365	1.8376257966251017E-002	8.0760401856415157E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
14	14	197.404	1.6084274652311367E-002	1.0526653327206363E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
15	15	195.566	1.7489061524833788E-002	9.5983652939330838E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
16	16	182.493	9.7308413743486116E-003	9.8446863537895099E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
17	17	153.333	1.8669449238733232E-002	8.9334519190036252E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
18	18	170.288	1.7074715545324456E-002	8.7985703906911517E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
19	19	192.786	1.3000733414212276E-002	1.0994451374689219E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
20	20	162.604	1.6311574597257211E-002	9.4264731376603461E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
21	21	184.704	1.3003341646079677E-002	1.0582652900891464E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
22	22	177.828	1.5193040278978470E-002	9.5667842282151361E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
23	23	201.871	1.6603006921250010E-002	9.1717102806059894E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
24	24	209.895	2.0199348741805193E-002	9.9552695601398469E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
25	25	150.402	1.8304812428057329E-002	8.2401340602069745E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
26	26	224.605	1.4501672837429827E-002	9.3459848706290080E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
27	27	162.928	1.6145457575605954E-002	9.3096947482896875E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
28	28	168.420	1.7859579710701151E-002	9.8862424985527858E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
29	29	178.227	2.0054125221111843E-002	8.6911642660846139E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
30	30	170.414	1.4327609362498148E-002	8.6296621679115004E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
31	31	204.989	1.5962456898696548E-002	9.0307784985992692E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
32	32	170.723	1.3648729756392683E-002	1.0190783491696380E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
33	33	150.602	1.9913308430721199E-002	9.7171194149439574E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
34	34	186.736	1.4505458954861952E-002	9.5496840605706276E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
35	35	181.424	1.8505832519380358E-002	9.7906232619728029E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
36	36	177.001	1.5345736313934891E-002	9.3563028235562062E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
37	37	181.816	1.7452871708982451E-002	8.5039907314325702E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
38	38	178.300	1.5587818157406702E-002	9.8077649367477732E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
39	39	218.917	1.6798463806222089E-002	8.9206686987749750E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
40	40	196.178	1.1417341923459084E-002	1.0199379263354916E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
41	41	202.376	1.6817605957869006E-002	1.0028290147559758E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
42	42	261.588	2.2559874006206182E-002	8.4221742101308755E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
43	43	190.726	1.3621886541455117E-002	9.6282348007188795E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
44	44	196.695	1.4921865113288996E-002	1.0611809401120068E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
45	45	207.525	1.4052191000610503E-002	9.5430258283227612E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
46	46	180.864	1.9039622905285714E-002	8.5016378728094699E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
47	47	207.883	1.3690887917603256E-002	9.5937726630683715E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
48	48	196.907	1.6069706712661197E-002	9.7082867271088211E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
49	49	187.703	1.5581802312168103E-002	9.8463962214876619E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
50	50	158.579	1.6313064760274484E-002	1.0215331552348800E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
51	51	246.969	1.8303677634447749E-002	1.0048697114578793E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
52	52	177.652	1.3622607189533176E-002	9.2635749800166756E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
53	53	161.754	1.3346353414663809E-002	9.0681019142890978E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
54	54	182.274	1.5883951108770542E-002	9.6970478437358246E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
55	55	193.280	1.8329956045199575E-002	1.0077317744719400E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
56	56	162.219	1.5962440143790099E-002	9.8247229770317551E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
57	57	234.454	1.7893420210030250E-002	9.1205774928648925E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
